ഏതു ethu
പുകഴ്ത്തുകയും pukazhthukayum
ചെയ്യും cheyyum
കാര്യങ്ങൾ karyangal
മരുമക്കളുടെ marumakkalude
പ്രീതിക്കു preethikku
പാത്രമാക്കി pathramakki
വിളിച്ചുകൊണ്ടാണവർ vilichukondanavar
വീട്ടിലേക്കു veettilekku
കയറുന്നതുതന്നെ kayarunnathuthanne
ത്രേസ്യേ thresye
ജോസേ jose
പൗലോസിന്റെ poulosinte
അടുത്താണെങ്കിൽ aduthanenkil
എന്റെ ente
മേരിക്കുട്ടി merikkuttee
പൗലോസേ paulose
കഴിഞ്ഞാൽ kazhinjal
കുട്ടികളുടെ kuttikalude
അന്വേഷിക്കും anweshikkum
പിള്ളാര് pillaru
എവിടെടീ evidedee
പക്ഷെ pakshe
ഇപ്പോൾ ippol
താൻ than
പുതിയൊരു puthiyoru
തുടങ്ങിവെച്ച thudangivecha
സമയത്ത് samayathu
അമ്മായിയമ്മയുടെ ammayiyammayude
വരവ് varavu
എങ്ങിനെ engine
ബാധിക്കുമെന്നറിയാതെ badhikkumennariyathe
കുറച്ചൊരു kurachoru
മനഃപ്രയാസമുണ്ടായി manaprayasamundayi
പിരിച്ച് pirichu
കാണിക്കുന്ന kanikkunna
തല്ക്കാലം thalkkalam
അറിയിക്കേണ്ടെന്നു ariyikkendennu
തീരുമാനിച്ചു theerumanichu
അമ്മച്ചിക്ക് ammachikku
സന്തോഷമായി santhoshamayi
വിരൽത്തുമ്പിൽ viralthumbil
എന്ന enna
ആശയം aashayam
അവർക്കിഷ്ടപ്പെട്ടു avarkkishtapettu
ജോമോനോട് jomonodu
എടാ edaa
ജോമോനെ jomone 
അപ്പപ്പക്കും appappakkum
ഇതുപോലൊരെണ്ണം ithupolorennam
കൊണ്ടു kondu
കോട്ടയത്ത് kottayathu
പൗലോസിന്റേ poulosinte
ടിവിയുണ്ട് tiviyundu
ബാംഗളൂരുള്ള bamgaloorulla
ഫ്രാൻസിസ്സിന്റെ fransissinte
വീട്ടിലും veetilum
അവന്ന് vannu
ഇതിലൊന്നും ithilonnum
താല്പര്യമില്ല thalparyamilla
പഠിക്കത്തില്ല padikkathila
പറഞ്ഞ് paranju
ടിവി tivi
വെക്കാറില്ല vekkarilla
മുഖത്തു mukhathu
മറിയാമ്മ mariyamma
നീയെന്താടാ neeyenthada
തൃപ്തില്ല്യാത്തപോലെ thripthillyathapole
നിക്കണത് nikkanathu
അപ്പപ്പ appappa
പണൊക്കെ panokke
തരും tharum
രാവിലെത്തന്നെയിരുന്ന് ravilethanneyirunnu
കണ്ടു kandu
സന്തോഷമായി santhoshamayi
ഉച്ചക്ക് uchakku
കോഴിക്കറിയും kozhikkariyum
മാട്ടിറച്ചി mattirachu
വരട്ടിയതും varattiyathum
കൂട്ടി kootti
നന്നായി nannayi
ഊണു oonu
കഴിച്ചു kazhichu
കഴിഞ്ഞ kazhinja
കിടത്തിയുറക്കാനുള്ള kidathiyurakkanulla
ശ്രമത്തിലായി shramathilayi
മരുമകൾ marumakal
അമ്മച്ചിയാണെങ്കിൽ ammachiyanenkil
സംസാരിക്കാനുള്ള samsarikkanulla
മൂഡിലും moodilum
ആൾക്കാർ aalkkar
വരുമ്പോഴേക്ക് varumbozhekku
ഉറക്കി urakki
വാതിലടക്കണമെന്നുണ്ടായിരുന്നു vathiladakkanamennundayirunnu
പറഞ്ഞാലും paranjalum
തള്ള thalla
സമ്മതിക്കില്ല sammathikkilla
കിടക്ക kidakka
വിരിച്ചിട്ടുണ്ടെന്നും virichittundennum
കുടിക്കാൻ kudikkan
വെള്ളം vellam
മേശപ്പുറത്ത് meshappurathu
അടച്ചുവെച്ചിട്ടുണ്ടെന്നും adachuvechittundennum
ഒക്കെ okke
പറഞ്ഞുനോക്കി paranjunokki
രക്ഷയുമില്ല rakshayumilla
അവസാനം avasanam
അമ്മച്ചി ammachi
കിടന്നോ kidanno
ഊണ് oonu
കഴിഞ്ഞ് kazhinju
ഇങ്ങിനെയിരുന്ന് ingineyirunnu
അരയ്ക്ക് araykku
നീർക്കെട്ടു neerkkettu
വരണ്ട varanda
ഫലിച്ചു falichu
വേഗം vegam
എഴുന്നേറ്റു ezhunnetu
നടുവെട്ടി naduvetti
കിടന്നത് kidannathu
ഓർത്തു orthu
അമ്മച്ചിയെ ammachiye
മുറിയിലാക്കി muriyilakki
ചാരി chari
വന്നപ്പോഴേക്ക് vannappozhekku
കാണികൾ kanikal
വന്നുതുടങ്ങി vannuthudangi
ആശ്വാസത്തേടെ aaswasathode
ദീർഘശ്വാസം deerghashwasam
വിട്ടു vittu
പകുതിയായപ്പോഴാണ് pakuthiyayappozhanu
അപകടമുണ്ടായത് apakadamundayathu
ഒരുറക്കം orurakkam
കുളിമുറിയിൽപോയി kulimuriyilppoyi
തിരിച്ചുവന്ന് thirichuvannu
ഉറക്കത്തിന്റെ urakkathinte
ഘട്ടത്തിലേക്ക് ghattathilekku
പ്രവേശിക്കുമ്പോഴാണ് praveshikkumbozhanu
പുറത്ത് purathu
ഹാളിൽ hallil
ഉറക്കെ urakke
ചിരിയും chiriyum
ബഹളവും bahalavum
കേൾക്കുന്നത് kelkkunnathu
എഴുന്നേറ്റു ezhunnetu
തുറന്നു thurannu
നോക്കിയപ്പോൾ nokkiyappol
കണ്ടത് kandathu
പത്തു pathu
മുപ്പതുപേർ muppathuper
ഹാളിലിരുന്ന് hallilirunnu
തലതല്ലിച്ചിരിക്കുന്നതാണ് thalathallichirikkunnathanu
കാരണമറിയണമല്ലൊ karanamariyanamallo
ഹാളിലേക്കു hallilekku
അയ്യോ ayyo
ഉറക്കം urakkam
മുറിഞ്ഞുപോയോ? murinjupoyo
ത്രേസ്യാമ്മ thresyamma
ഇല്ലെടി illedi
സാരംല്ല്യ. saramllya
വെക്ക്ണ്‌ണ്ടെങ്കി vekkndenki
എന്നീം enneem
വിളിക്കായിര്ന്നില്ലെ vilikkayirnnille
പിരിക്കുന്ന pirikkunna
അമ്മച്ചിയില്ലാതിരുന്നത് ammachiyillathirunnathu
നന്നായി nannayi
ഇതിനൊരു ithinoru
ശാശ്വത shashwatha
പരിഹാരം pariharam
കണ്ടുപിടിക്കണമല്ലൊ kandupidikkanamallo
മോളെ mole
ഇക്കണ്ട ikkanda
നാട്ടുകാർക്കൊക്കെ nattukarkkokke
കൊടുക്കണത് kodukkanathu
അവർക്ക് avarkku
കാണണംന്ന് kananamnnu
അമ്മച്ചീ ammachee
അങ്ങിനെയാണെങ്കില് anganeyanenkilu
ചെയ്താ cheytha
ഓരോരുത്തര്‌ടെ ororutharde
മേടിച്ചോ medicho
അപ്പോ appo
നിനക്കും ninakkum
ഗുണായില്ലെ gunayille
വെറുതെ veruthe
കൊടുത്താൽ koduthal
വെലണ്ടാവില്ല velandavilla
ഇത്തവണ ithavana
കുറച്ചധികം kurachadhikam
ദീർഘമായിത്തന്നെ deerghamayithanne
ജീവിതത്തിൽ jeevithathil
ആദ്യമായി aadyamayi
മറിയാമ്മയുടെ mariyammayude
മരുമകളാവാൻ marumakalavan
അർഹത arhatha
നേടിയതായി nediyathayi
അവർക്കു avarkku
തോന്നി thonni
ടെൻ ten
കമാന്റ്‌മെന്റ്‌സ് kammantments
കാണിക്കണമെന്ന് kanikkanamennu
കുറേ kure
ആഗ്രഹിച്ചിരുന്നതാണ് aagrahichirunnathanu
ത്രേസ്യയുടെ thresyayude
വയസ്സുള്ള vayassulla
ജോമോനെ jomone
നോക്കി nokki
വീട്ടിലിരിക്കയായിരുന്നു veettilirikkayayirunnu
അമ്മച്ചിയേയും ammachiyeyum
കൊണ്ട് kondu
പോകണമെന്നു pokanamennu
കരുതിയപ്പോഴേക്കും karuthiyappozhekkum
മാറുകയും marukayum
വന്നത് vannathu
അപ്പച്ചൻ appachan
മരിച്ച maricha
കാലത്തായിരുന്നു kalathayirunnu
ലൈബ്രറിയിലെ laibrariyile
ഷെൽഫിൽ shelfil
ഇന്ന് innu
പേരു peru
ജോസഫേട്ടന്ന് josafettanu
നാളെ nale
ഞായറാഴ്ച്ച njayarazhcha
ദിവസമായി divasamayi
കാണിക്കാമല്ലൊ kanikkamallo
ഭക്ഷണസമയത്ത് bhakshanasamayathu
അമ്മച്ചി ammachi
കല്പനകൾ kalpanakal
കിട്ടിയിട്ടുണ്ട് kittiyittundu
തരാം tharam
മോശക്ക് moshakku
കിട്ടിയ kittiya
കല്പനകളല്ലെ kalpanakalalle
പഴയ pazhaya
നിയമം niyamam
മറന്നിട്ടില്ല marannittilla
അതെ athe
അമ്മച്ചി ammachi
ഞാനും njanum
അച്ചായനും achayanum
സിനിമയാ sinimaya
ഓർമ്മയില്ലെ ormmayille
ജോമോനീം jomoneem
വീട്ടിലിരുന്നത് veettilirunnathu
മോനന്ന് monannu
വയസ്സാ vayassa
മറിയാമ്മക്ക് mariyammakku
ഓർമ്മയൊന്നുമില്ല ormayonnumilla
ഞായറാഴ്ച njayarazhcha
പരിപാടി paripadi
രാവിലെ ravile
പത്തിനാകാമെന്നു pathinakamennu
പള്ളിയിൽ palliyil
വന്ന vanna
കോളനിയിൽ kolaniyil
എല്ലാ ella
വീടുകളിലും veedukalilum
മണിക്കു manikku
കാണിക്കുന്നതാണെന്ന് kanikkunnathanennu
വിളംബരം vilambaram
ഇംഗ്ലിഷ് imglish
സിനിമയാണെന്നു sinimayanennu
കേട്ടപ്പോൾ kettappol
പലരും palarum
മുഖം mukham
ചുളിച്ചെങ്കിലും chulichenkilum
വിദഗ്ദമായ vidagdamaya
സേയ്ൽസ് seyls
ടാക്ക് takk
എല്ലാവരേയും ellavareyum
വീഴ്ത്തി veezhthi
ഭർത്താവിന്റെ bharthavinte
കുഴിമാടത്തിൽ kuzhimadathil
പൂക്കൾ pookkal
പ്രാർഥിച്ച് prarthichu
തിരിച്ചുവന്നു thirichuvannu
മണിയോടെ maniyode
അവരും avarum
തയ്യാറായി thayyarayi
ഇംഗ്ലീഷ് imgleesh
സിനിമയായതുകൊണ്ട് sinimayayathukondu
കഥയുടെ kathayude
സാരാംശം saramsham
പറഞ്ഞുകൊടുത്താലേ paranjukoduthale
ആസ്വാദ്യത aaswadyatha
പൂർണമാവൂ poornamavoo
എന്നതുകൊണ്ട് ennathukondu
പുറപ്പാടിന്റെ purappadinte
കഥ katha
വളരെ valare
ലഘുവായി laghuvayi
യാക്കോബിന്റെ yakkobinte
മക്കൾ makkal
ഈജിപ്തുകാരുടെ eegypthukarude
അടിമകളായെന്നും adimakalayennum
മോശ mosha
ഫറവോയുടെ faravoyude
കയ്യിൽനിന്നു kayyilninnu
രക്ഷിച്ച് rakshichu
ചെങ്കടൽ chenkadal
കടത്തി kadathi
വാഗ്നത്തഭൂമിയിൽ vagnathabhoomiyil
എത്തിച്ചുവെന്നും ethichuvennum
സീനായ് seenay
മലമുകളിൽ malamukalil
ഉടമ്പടിയിലൂടെ udambadiyiloode
ദൈവം daivam
മോശക്ക് moshakku
നൽകിയെന്നും nalkiyennum
അവതരണമെന്ന avatharanamenna
മട്ടിൽ mattil
പറഞ്ഞു paranju
കൊടുത്തു koduthu
